{'formasi_id': '07cfc4b9-ff47-4682-9a5f-3fb9bf276314', 'ins_nm': 'Badan Narkotika Nasional', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'BADAN NARKOTIKA NASIONAL | BNNP JATIM | BNNK SIDOARJO | KLINIK PRATAMA BNNK SIDOARJO', 'jumlah_formasi': 1, 'disable': 0, 'gaji_min': '7400000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'b5cd0e48-15e2-422e-9a04-c4c30e45f71a', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Besar Kekarantinaan Kesehatan Surabaya', 'jumlah_formasi': 1, 'disable': 1, 'gaji_min': '4000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'b5f1d41a-cd79-48c8-b751-beb0ff36b213', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Ratatotok Buyat | Direktorat Medik dan Keperawatan | Instalasi Rawat Jalan', 'jumlah_formasi': 2, 'disable': 1, 'gaji_min': '3100000', 'gaji_max': '6700000', 'jumlah_ms': 0}
{'formasi_id': 'b77886f3-67d5-403b-adba-25c42f6c49fc', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Mata Cicendo Bandung | UPF BALAI KESEHATAN MATA MASYARAKAT CIKAMPEK | INSTALASI PENUNJANG NON MEDIK', 'jumlah_formasi': 1, 'disable': 1, 'gaji_min': '3098800', 'gaji_max': '10969800', 'jumlah_ms': 0}
{'formasi_id': 'b86be144-1bba-4a80-9020-5c4d3c6c1d63', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Besar Kekarantinaan Kesehatan Batam', 'jumlah_formasi': 10, 'disable': 1, 'gaji_min': '4000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'b9436be8-cf9f-4943-b4a6-d37775530230', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat dr. Ben Mboi Kupang | Direktorat Medik dan Keperawatan | Instalasi Rawat Jalan', 'jumlah_formasi': 4, 'disable': 1, 'gaji_min': '5000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'be057434-cd0e-42b0-a489-67436a9cdbcf', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Kekarantinaan Kesehatan Kelas II Palangka Raya', 'jumlah_formasi': 1, 'disable': 1, 'gaji_min': '4000000', 'gaji_max': '6000000', 'jumlah_ms': 0}
{'formasi_id': 'bfddaa27-cccf-403e-8b34-ab20775c02da', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Persahabatan Jakarta | DIREKTORAT MEDIK DAN KEPERAWATAN | INSTALASI RAWAT INTENSIF', 'jumlah_formasi': 19, 'disable': 1, 'gaji_min': '2800000', 'gaji_max': '9300000', 'jumlah_ms': 0}
{'formasi_id': 'c15e8dbd-c32f-4290-8e3f-ac7d05451bf3', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Anak dan Bunda Harapan Kita Jakarta | DIREKTORAT MEDIK DAN KEPERAWATAN | INSTALASI BEDAH SENTRAL', 'jumlah_formasi': 2, 'disable': 1, 'gaji_min': '3000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'c18e8851-338b-406b-8335-f64f4d51a94e', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Wahidin Sudirohusodo Makassar | Direktorat Medik dan Keperawatan | Instalasi Pelayanan Privat', 'jumlah_formasi': 5, 'disable': 1, 'gaji_min': '3000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'c259d2b7-29fa-46be-8f16-6a0d1f107355', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Persahabatan Jakarta | DIREKTORAT MEDIK DAN KEPERAWATAN | INSTALASI GAWAT DARURAT', 'jumlah_formasi': 8, 'disable': 1, 'gaji_min': '2800000', 'gaji_max': '9300000', 'jumlah_ms': 0}
{'formasi_id': 'c749e271-8f2d-48d6-90c1-7394694ab097', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Kanker Dharmais Jakarta | Direktorat Medik dan Keperawatan | Instalasi Rawat Inap', 'jumlah_formasi': 4, 'disable': 1, 'gaji_min': '2887200', 'gaji_max': '9310236', 'jumlah_ms': 0}
{'formasi_id': 'c8443431-8ebe-4dec-8557-840bbce03bfa', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Kekarantinaan Kesehatan Kelas II Manokwari', 'jumlah_formasi': 3, 'disable': 1, 'gaji_min': '4000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'caa1d95d-78ea-4bf5-b081-6e81853fba29', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta | Direktorat Medik dan Keperawatan | Instalasi Diagnostik Invasif, Intervensi Non Bedah, dan Non Invasif', 'jumlah_formasi': 2, 'disable': 1, 'gaji_min': '5720046', 'gaji_max': '16773810', 'jumlah_ms': 0}
{'formasi_id': 'cb9241fc-2de7-485c-97f6-d7897d8a6bfe', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Soeradji Tirtonegoro Klaten | Direktorat Medik dan Keperawatan | Instalasi Rawat Inap', 'jumlah_formasi': 15, 'disable': 1, 'gaji_min': '5353006', 'gaji_max': '9683446', 'jumlah_ms': 0}
{'formasi_id': 'ce4074de-7d33-4aaa-9b03-89cf191a6ddd', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Sekretariat Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Surabaya | Direktorat Medik dan Keperawatan | Instalasi Bedah Sentral', 'jumlah_formasi': 25, 'disable': 1, 'gaji_min': '3203600', 'gaji_max': '6714000', 'jumlah_ms': 0}
{'formasi_id': 'cf49ac2e-eeb7-4605-98ce-78a32ee8a325', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Fatmawati Jakarta | DIREKTORAT MEDIK DAN KEPERAWATAN | INSTALASI GAWAT DARURAT', 'jumlah_formasi': 2, 'disable': 1, 'gaji_min': '5000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'd18c4658-a8ae-4145-9d83-a195685ce019', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Kekarantinaan Kesehatan Kelas I Kendari', 'jumlah_formasi': 5, 'disable': 1, 'gaji_min': '4000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'd3959cb0-ca4b-4950-a98c-4923d20b9544', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Persahabatan Jakarta | DIREKTORAT MEDIK DAN KEPERAWATAN | INSTALASI RAWAT INAP', 'jumlah_formasi': 74, 'disable': 1, 'gaji_min': '2800000', 'gaji_max': '9300000', 'jumlah_ms': 0}
{'formasi_id': 'da603f85-e5e8-4372-b059-1baa1c0186f8', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Sardjito Yogyakarta | Direktorat Medik dan Keperawatan | Instalasi Layanan Eksekutif', 'jumlah_formasi': 4, 'disable': 1, 'gaji_min': '3000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'db395461-4037-488f-a43a-c3d90339dbdf', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta | Direktorat Medik dan Keperawatan | Instalasi Prevensi, Rehabilitasi, dan Paliatif Kardiovaskular', 'jumlah_formasi': 2, 'disable': 1, 'gaji_min': '5720046', 'gaji_max': '16773810', 'jumlah_ms': 0}
{'formasi_id': 'db90b208-4383-4081-be24-a0458e902a39', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Prof. Dr. R.D. Kandou Manado | Direktorat Medik dan Keperawatan | Instalasi Jantung dan Pembuluh Darah (CVBC)', 'jumlah_formasi': 10, 'disable': 1, 'gaji_min': '4000000', 'gaji_max': '6000000', 'jumlah_ms': 0}
{'formasi_id': 'dbb34f3d-9a38-430b-bfda-2b7aed0555a8', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Prof. Dr. I. G. N. G Ngoerah Denpasar | Direktorat Pelayanan Medik, Keperawatan, dan Penunjang | Instalasi Rawat Jalan', 'jumlah_formasi': 3, 'disable': 1, 'gaji_min': '2858800', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'dbf39417-f90d-495e-ac0f-7f38f906a657', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Wahidin Sudirohusodo Makassar | Direktorat Medik dan Keperawatan | Instalasi Pelayanan Pusat Jantung Terpadu (Cardiac Center)', 'jumlah_formasi': 10, 'disable': 1, 'gaji_min': '3000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'dcd4f50d-8884-48b0-8d10-7cb279d7199f', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat H. Adam Malik Medan | Direktorat Medik dan Keperawatan | Instalasi Pusat Jantung Terpadu', 'jumlah_formasi': 4, 'disable': 1, 'gaji_min': '3000000', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'e17373ad-b13d-4b06-8f17-6452d33606c9', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Prof. Dr. I. G. N. G Ngoerah Denpasar | Direktorat Pelayanan Medik, Keperawatan, dan Penunjang | Instalasi Gawat Darurat', 'jumlah_formasi': 5, 'disable': 1, 'gaji_min': '2858800', 'gaji_max': '8000000', 'jumlah_ms': 0}
{'formasi_id': 'e1dad4da-6fe3-42b2-bab3-05ba72b32ed2', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Kekarantinaan Kesehatan Kelas I Samarinda', 'jumlah_formasi': 1, 'disable': 1, 'gaji_min': '5000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'e488aac5-630c-4586-8e90-baa38792ff24', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Soeradji Tirtonegoro Klaten | Direktorat Medik dan Keperawatan | Instalasi Rawat Intensif', 'jumlah_formasi': 5, 'disable': 1, 'gaji_min': '5353006', 'gaji_max': '9683446', 'jumlah_ms': 0}
{'formasi_id': 'e491d05a-5ed8-4066-8a50-48e40b8f340d', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Nasional Dr. Cipto Mangunkusumo Jakarta | Direktorat Medik dan Keperawatan | Instalasi Pelayanan Rawat Inap Terpadu Gedung A', 'jumlah_formasi': 80, 'disable': 1, 'gaji_min': '1519000', 'gaji_max': '26737000', 'jumlah_ms': 0}
{'formasi_id': 'e8be7a87-b587-448a-bcf0-b967706fe217', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Kekarantinaan Kesehatan Kelas I Dumai', 'jumlah_formasi': 1, 'disable': 1, 'gaji_min': '4000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'ea47ee36-ded3-45c4-aaa8-291a79cdfa8b', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Prof. Dr. R.D. Kandou Manado | Direktorat Medik dan Keperawatan | Instalasi Gawat Darurat', 'jumlah_formasi': 10, 'disable': 1, 'gaji_min': '4000000', 'gaji_max': '60000000', 'jumlah_ms': 0}
{'formasi_id': 'ea9f398b-a765-4d6b-8d47-01e5f0eaf604', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Sardjito Yogyakarta | Direktorat Medik dan Keperawatan | Instalasi Kesehatan Ibu dan Anak', 'jumlah_formasi': 4, 'disable': 1, 'gaji_min': '3000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'f1ef5056-84d9-40ae-9ebe-036f4a495cd5', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Ratatotok Buyat | Direktorat Medik dan Keperawatan | Instalasi Rawat Inap', 'jumlah_formasi': 5, 'disable': 1, 'gaji_min': '3100000', 'gaji_max': '6700000', 'jumlah_ms': 0}
{'formasi_id': 'f1f53031-de02-486f-843e-691ff9dd4ead', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Ketergantungan Obat Jakarta | Direktorat Medik dan Keperawatan | Instalasi Gawat Darurat', 'jumlah_formasi': 2, 'disable': 1, 'gaji_min': '2858800', 'gaji_max': '5858800', 'jumlah_ms': 0}
{'formasi_id': 'f49176a6-dc50-4734-9ae1-5d1fb782e0c0', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Sekretariat Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit IKN | Direktorat Medik dan Keperawatan | Instalasi Rawat Inap', 'jumlah_formasi': 75, 'disable': 1, 'gaji_min': '3098800', 'gaji_max': '6609200', 'jumlah_ms': 0}
{'formasi_id': 'f4d9bc78-0c8c-4e09-a070-87ebc2155c64', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Sardjito Yogyakarta | Direktorat Medik dan Keperawatan | Instalasi Ginjal Terpadu', 'jumlah_formasi': 3, 'disable': 1, 'gaji_min': '3000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'f69aea73-2ce3-438e-8de4-2f60c593ae65', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Hasan Sadikin Bandung | Direktorat Medik dan Keperawatan | Instalasi Bedah Sentral', 'jumlah_formasi': 1, 'disable': 1, 'gaji_min': '3123800', 'gaji_max': '8204598', 'jumlah_ms': 0}
{'formasi_id': 'f9416fa9-1fdf-4932-9e66-e50d2650c7e0', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Wahidin Sudirohusodo Makassar | Direktorat Medik dan Keperawatan | Instalasi Rawat Inap', 'jumlah_formasi': 15, 'disable': 1, 'gaji_min': '3000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'fb014b2a-9b54-4625-b60d-4188d6a12c90', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Nasional Dr. Cipto Mangunkusumo Jakarta | Direktorat Medik dan Keperawatan | Instalasi Pelayanan Terpadu Kesehatan Ibu dan Anak RSCM Kiara', 'jumlah_formasi': 65, 'disable': 1, 'gaji_min': '5067381', 'gaji_max': '16200000', 'jumlah_ms': 0}
{'formasi_id': 'fb38580c-2ad2-47ec-92f6-14b6d0b8d057', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Tadjuddin Chalid Makassar | UPF Balai Besar Kesehatan Paru Masyarakat Makassar | Instalasi Gawat Darurat', 'jumlah_formasi': 5, 'disable': 1, 'gaji_min': '2858800', 'gaji_max': '4551800', 'jumlah_ms': 0}
{'formasi_id': 'fc47c7b0-a8c8-4477-878c-76ec5d232883', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Kesehatan Masyarakat | Balai Laboratorium Kesehatan Masyarakat Makassar', 'jumlah_formasi': 1, 'disable': 1, 'gaji_min': '5000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'fca4fbaa-48d0-4f12-b124-30facfa82d71', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pencegahan dan Pengendalian Penyakit | Balai Kekarantinaan Kesehatan Kelas I Bandung', 'jumlah_formasi': 3, 'disable': 1, 'gaji_min': '4000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': 'ff046f12-a634-403c-94c6-c1f75eb42881', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta | Direktorat Medik dan Keperawatan | Instalasi Perawatan Intensif dan Kegawatdaruratan', 'jumlah_formasi': 9, 'disable': 1, 'gaji_min': '5720046', 'gaji_max': '16773810', 'jumlah_ms': 0}
{'formasi_id': '09c519ce-17f8-473a-adce-d37bc9cbd3ba', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'TENAGA PROMOSI KESEHATAN DAN ILMU PERILAKU TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Hasan Sadikin Bandung | Direktorat Layanan Operasional', 'jumlah_formasi': 1, 'disable': 1, 'gaji_min': '3098800', 'gaji_max': '7149868', 'jumlah_ms': 0}
{'formasi_id': '320b9640-08f0-4f25-b227-51468a44a0f1', 'ins_nm': 'Kementerian Kesehatan', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'TENAGA PROMOSI KESEHATAN DAN ILMU PERILAKU TERAMPIL', 'lokasi_nm': 'Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. Sardjito Yogyakarta | Unit Pelaksana Fungsional Pelayanan Kesehatan Tradisional Tawangmangu | Instalasi Penunjang, Penelitian dan Penyediaan Produk', 'jumlah_formasi': 4, 'disable': 1, 'gaji_min': '3000000', 'gaji_max': '7000000', 'jumlah_ms': 0}
{'formasi_id': '1473441f-f5f9-4af9-9666-d303c16788e4', 'ins_nm': 'Kementerian Koordinator Bidang Perekonomian', 'jp_nama': 'PPPK Tenaga Kesehatan', 'formasi_nm': 'KHUSUS', 'jabatan_nm': 'PERAWAT TERAMPIL', 'lokasi_nm': 'Kementerian Koordinator Bidang Perekonomian | Sekretariat Kementerian Koordinator Bidang Perekonomian | Biro Umum | Klinik Pratama Kementerian Koordinator Bidang Perekonomian', 'jumlah_formasi': 2, 'disable': 0, 'gaji_min': '6611526', 'gaji_max': '7929018', 'jumlah_ms': 0}
